Reservoir,HOxOn,HOxOff
FCR,2018-04-23,2018-07-30
FCR,2018-08-09,2018-09-10
FCR,2019-06-03,2019-06-17
FCR,2019-07-08,2019-07-19
FCR,2019-08-05,2019-08-19
FCR,2019-09-02,2019-12-01
FCR,2020-06-29,2020-07-12
FCR,2020-07-13,2020-07-22
FCR,2020-07-23,2020-09-11
FCR,2020-09-25,2020-12-02
FCR,2021-06-11,2021-06-26
FCR,2021-06-30,2021-07-08
FCR,2021-07-12,2021-07-14
FCR,2021-07-26,2021-09-06
FCR,2021-09-14,2021-12-06
FCR,2022-03-22,2022-03-24
FCR,2022-03-29,2022-04-03
FCR,2022-05-19,2022-06-14
FCR,2022-06-21,2022-08-26
FCR,2022-08-29,2022-10-01
FCR,2022-10-03,2022-12-12
FCR,2023-03-06,2023-05-29
FCR,2023-05-31,2023-08-21
FCR,2023-08-23,2023-12-04